FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140115;0000;;;4,80366;
140116;0000;;;12,755;
140117;0000;;;12,7485;
140118;0000;;;17,7581;
140119;0000;;;8,64574;
140120;0000;;;11,0154;
140121;0000;;;38,4218;
140122;0000;;;7,74471;
140123;0000;;;8,37274;
140124;0000;;;5,62916;
140125;0000;;;8,65866;
140126;0000;;;1,73816;
140127;0000;;;2,55258;
140128;0000;;;22,3482;
140129;0000;;;5,92957;
140130;0000;;;3,30074;
140131;0000;;;7,88616;
140201;0000;;;2,24437;
140202;0000;;;4,96937;
140203;0000;;;8,0029;
140204;0000;;;21,8007;
140205;0000;;;16,979;
140206;0000;;;7,58699;
140207;0000;;;8,99916;
140208;0000;;;14,8295;
140209;0000;;;3,59949;
140210;0000;;;2,40808;
140211;0000;;;13,2142;
140212;0000;;;5,78387;
140213;0000;;;3,79683;
140214;0000;;;5,35603;
140215;0000;;;12,9163;
140216;0000;;;11,5646;
140217;0000;;;2,46796;
140218;0000;;;13,3664;
140219;0000;;;11,5636;
140220;0000;;;7,4072;
140221;0000;;;6,82199;
140222;0000;;;7,75524;
140223;0000;;;3,64396;
140224;0000;;;7,67912;
140225;0000;;;16,063;
140226;0000;;;9,69432;
140227;0000;;;7,425;
140228;0000;;;6,51357;
140301;0000;;;6,24466;
140302;0000;;;7,9435;
140303;0000;;;4,24628;
140304;0000;;;19,8905;
140305;0000;;;8,09361;
140306;0000;;;9,32686;
140307;0000;;;9,7944;
140308;0000;;;8,67162;
140309;0000;;;11,0257;
140310;0000;;;11,38;
140311;0000;;;9,3199;
140312;0000;;;0;
140313;0000;;;0,704999;
140314;0000;;;;
140315;0000;;;;
140316;0000;;;12,0514;
140317;0000;;;10,686;
140318;0000;;;36,8065;
140319;0000;;;7,17424;
140320;0000;;;13,4227;
140321;0000;;;32,6719;
140322;0000;;;12,8431;
140323;0000;;;5,44112;
140324;0000;;;3,23475;
140325;0000;;;14,2357;
140326;0000;;;4,79962;
140327;0000;;;7,89561;
140328;0000;;;8,76961;
140329;0000;;;7,51503;
140330;0000;;;4,22733;
140331;0000;;;14,4565;
140401;0000;;;39,2907;
140402;0000;;;9,68178;
140403;0000;;;13,1281;
140404;0000;;;15,237;
140405;0000;;;12,1508;
140406;0000;;;8,33611;
140407;0000;;;17,7929;
140408;0000;;;43,3493;
140409;0000;;;25,4226;
140410;0000;;;5,08208;
140411;0000;;;18,2285;
140412;0000;;;11,3952;
140413;0000;;;25,2308;
140414;0000;;;22,5396;
140415;0000;;;46,8448;
140416;0000;;;4,75737;
140417;0000;;;31,1042;
140418;0000;;;32,5154;
140419;0000;;;;
140420;0000;;;;
140421;0000;;;;
140422;0000;;;;
140423;0000;;;19,4077;
140424;0000;;;9,25441;
140425;0000;;;24,8416;
140426;0000;;;14,0875;
140427;0000;;;;
140428;0000;;;36,1439;
140429;0000;;;62,4228;
140430;0000;;;24,4042;
140501;0000;;;39,8345;
140502;0000;;;46,7332;
140503;0000;;;20,9495;
140504;0000;;;43,374;
140505;0000;;;59,3904;
140506;0000;;;52,8381;
140507;0000;;;48,0164;
140508;0000;;;29,7343;
140509;0000;;;8,99207;
140510;0000;;;9,93941;
140511;0000;;;6,3279;
140512;0000;;;18,7083;
140513;0000;;;53,4816;
140514;0000;;;28,4433;
140515;0000;;;27,9351;
140516;0000;;;37,6984;
140517;0000;;;78,4645;
140518;0000;;;52,2363;
140519;0000;;;46,7503;
140520;0000;;;43,6264;
140521;0000;;;8,14316;
140522;0000;;;23,5844;
140523;0000;;;55,984;
140524;0000;;;27,5798;
140525;0000;;;16,576;
140526;0000;;;50,5716;
140527;0000;;;108,608;
140528;0000;;;4,46074;
140529;0000;;;5,54803;
140530;0000;;;25,9745;
140531;0000;;;24,0052;
140601;0000;;;27,1804;
140602;0000;;;68,6385;
140603;0000;;;29,7675;
140604;0000;;;19,6916;
140605;0000;;;16,4908;
140606;0000;;;16,2856;
140607;0000;;;13,1089;
140608;0000;;;10,4934;
140609;0000;;;20,9242;
140610;0000;;;25,0026;
