FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
131009;0000;;;9,9552;
131010;0000;;;5,78699;
131011;0000;;;5,27799;
131012;0000;;;5,58524;
131013;0000;;;4,88258;
131014;0000;;;5,22645;
131015;0000;;;12,9675;
131016;0000;;;2,54533;
131017;0000;;;7,46104;
131018;0000;;;5,01133;
131019;0000;;;4,28432;
131020;0000;;;4,92632;
131021;0000;;;3,53316;
131022;0000;;;15,0587;
131023;0000;;;2,50354;
131024;0000;;;4,36908;
131025;0000;;;2,38287;
131026;0000;;;3,77404;
131027;0000;;;4,67716;
131028;0000;;;2,33641;
131029;0000;;;19,2165;
131030;0000;;;2,6782;
131031;0000;;;2,57491;
131101;0000;;;3,40421;
131102;0000;;;3,85595;
131103;0000;;;5,27874;
131104;0000;;;2,56487;
131105;0000;;;10,2678;
131106;0000;;;;
131107;0000;;;4,53458;
131108;0000;;;4,89591;
131109;0000;;;4,05387;
131110;0000;;;3,55741;
131111;0000;;;2,98366;
131112;0000;;;16,8962;
131113;0000;;;5,25153;
131114;0000;;;4,19462;
131115;0000;;;3,19081;
131116;0000;;;1,452;
131117;0000;;;1,59208;
131118;0000;;;1,48904;
131119;0000;;;17,6484;
131120;0000;;;1,07962;
131121;0000;;;1,5265;
131122;0000;;;2,64262;
131123;0000;;;2,33408;
131124;0000;;;1,92729;
131125;0000;;;3,55362;
131126;0000;;;;
131127;0000;;;;
131128;0000;;;;
131129;0000;;;;
131130;0000;;;2,1632;
131201;0000;;;2,2382;
131202;0000;;;4,20528;
131203;0000;;;30,0309;
131204;0000;;;5,91041;
131205;0000;;;6,1811;
131206;0000;;;5,06916;
131207;0000;;;5,14082;
131208;0000;;;3,46825;
131209;0000;;;4,04612;
131210;0000;;;16,4454;
131211;0000;;;4,02491;
131212;0000;;;4,25391;
131213;0000;;;3,32695;
131214;0000;;;3,19046;
131215;0000;;;3,39966;
131216;0000;;;5,31308;
131217;0000;;;23,7935;
131218;0000;;;4,132;
131219;0000;;;4,74845;
131220;0000;;;4,87054;
131221;0000;;;4,13479;
131222;0000;;;4,06508;
131223;0000;;;3,9502;
131224;0000;;;29,6215;
131225;0000;;;3,5757;
131226;0000;;;5,40907;
131227;0000;;;4,80457;
131228;0000;;;4,88583;
131229;0000;;;6,84928;
131230;0000;;;21,1459;
131231;0000;;;66,9507;
140101;0000;;;14,9506;
