FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130903;0000;;;4,68637;
130904;0000;;;6,39749;
130905;0000;;;3,69966;
130906;0000;;;5,80357;
130907;0000;;;5,03049;
130908;0000;;;5,37066;
130909;0000;;;4,38708;
130910;0000;;;4,64333;
130911;0000;;;5,90279;
130912;0000;;;3,5155;
130913;0000;;;3,72287;
130914;0000;;;3,74741;
130915;0000;;;4,10158;
130916;0000;;;4,64124;
130917;0000;;;5,74712;
130918;0000;;;7,8762;
130919;0000;;;6,39228;
130920;0000;;;4,70432;
130921;0000;;;3,9092;
130922;0000;;;5,53145;
130923;0000;;;7,09457;
130924;0000;;;8,62527;
130925;0000;;;5,39891;
130926;0000;;;5,77445;
130927;0000;;;4,54662;
130928;0000;;;4,41174;
130929;0000;;;6,65145;
130930;0000;;;7,06657;
131001;0000;;;6,18945;
131002;0000;;;6,26749;
131003;0000;;;3,81729;
131004;0000;;;5,50878;
131005;0000;;;5,9202;
131006;0000;;;4,66232;
131007;0000;;;4,53896;
131008;0000;;;5,47141;
131009;0000;;;5,76891;
131010;0000;;;6,32475;
131011;0000;;;6,6825;
131012;0000;;;6,39378;
131013;0000;;;4,66062;
131014;0000;;;4,8412;
131015;0000;;;4,05962;
131016;0000;;;4,32795;
131017;0000;;;5,75104;
131018;0000;;;5,17558;
131019;0000;;;6,48108;
131020;0000;;;4,26516;
131021;0000;;;3,17245;
131022;0000;;;3,48725;
131023;0000;;;3,09787;
131024;0000;;;5,27795;
131025;0000;;;3,6437;
131026;0000;;;4,67503;
131027;0000;;;6,38587;
131028;0000;;;2,96595;
131029;0000;;;5,16366;
131030;0000;;;4,57874;
131031;0000;;;4,20737;
131101;0000;;;4,46358;
131102;0000;;;4,78941;
131103;0000;;;5,16753;
131104;0000;;;3,56633;
131105;0000;;;2,90966;
131106;0000;;;;
131107;0000;;;3,69262;
131108;0000;;;5,68887;
131109;0000;;;4,5662;
131110;0000;;;4,27637;
131111;0000;;;2,86062;
131112;0000;;;4,21945;
131113;0000;;;4,84103;
131114;0000;;;3,9147;
131115;0000;;;3,27999;
131116;0000;;;4,52811;
131117;0000;;;4,70237;
131118;0000;;;3,04804;
131119;0000;;;5,7095;
131120;0000;;;;
131121;0000;;;;
131122;0000;;;;
131123;0000;;;;
131124;0000;;;;
131125;0000;;;;
131126;0000;;;;
131127;0000;;;;
131128;0000;;;;
131129;0000;;;;
131130;0000;;;3,0105;
131201;0000;;;2,53804;
131202;0000;;;3,88387;
131203;0000;;;7,81491;
131204;0000;;;6,12828;
131205;0000;;;5,41605;
131206;0000;;;5,06445;
131207;0000;;;4,12883;
131208;0000;;;3,83104;
131209;0000;;;3,31654;
131210;0000;;;5,76795;
131211;0000;;;4,75491;
131212;0000;;;4,97978;
131213;0000;;;3,77171;
131214;0000;;;3,99537;
131215;0000;;;4,45633;
131216;0000;;;5,82028;
131217;0000;;;8,30942;
131218;0000;;;11,5221;
131219;0000;;;14,8296;
131220;0000;;;14,3587;
131221;0000;;;11,2137;
131222;0000;;;11,3287;
131223;0000;;;11,3576;
131224;0000;;;62,8558;
131225;0000;;;9,93411;
131226;0000;;;14,7283;
131227;0000;;;12,5158;
131228;0000;;;12,8904;
131229;0000;;;16,7533;
131230;0000;;;45,4185;
131231;0000;;;139,751;
140101;0000;;;37,8466;
140102;0000;;;28,3729;
140103;0000;;;32,8425;
140104;0000;;;30,3262;
140105;0000;;;29,7079;
140106;0000;;;18,8629;
140107;0000;;;103,761;
140108;0000;;;6,34795;
140109;0000;;;8,98465;
140110;0000;;;3,38195;
140111;0000;;;6,68195;
140112;0000;;;2,38171;
140113;0000;;;2,93612;
140114;0000;;;21,286;
140115;0000;;;7,12274;
140116;0000;;;21,4581;
140117;0000;;;21,5254;
140118;0000;;;31,904;
140119;0000;;;14,3926;
140120;0000;;;19,6093;
140121;0000;;;69,6506;
140122;0000;;;14,3607;
140123;0000;;;15,1578;
140124;0000;;;10,4591;
140125;0000;;;13,3111;
140126;0000;;;2,43221;
140127;0000;;;4,25033;
140128;0000;;;45,4256;
140129;0000;;;7,54845;
140130;0000;;;4,22012;
140131;0000;;;11,3144;
140201;0000;;;3,01649;
140202;0000;;;8,37032;
140203;0000;;;13,0247;
140204;0000;;;40,3636;
140205;0000;;;31,8388;
140206;0000;;;12,9293;
140207;0000;;;14,994;
140208;0000;;;26,7585;
140209;0000;;;5,0897;
140210;0000;;;2,9987;
140211;0000;;;22,8853;
140212;0000;;;7,32558;
140213;0000;;;4,9357;
140214;0000;;;7,10587;
140215;0000;;;20,3799;
140216;0000;;;18,3145;
140217;0000;;;2,96545;
140218;0000;;;24,0931;
140219;0000;;;17,2423;
140220;0000;;;10,6157;
140221;0000;;;8,98106;
140222;0000;;;11,7213;
140223;0000;;;4,76295;
140224;0000;;;10,1231;
140225;0000;;;26,0792;
140226;0000;;;14,5872;
140227;0000;;;9,41637;
140228;0000;;;8,41194;
140301;0000;;;8,72961;
140302;0000;;;11,4476;
140303;0000;;;5,42412;
140304;0000;;;34,2902;
140305;0000;;;11,8068;
140306;0000;;;14,7923;
140307;0000;;;13,8773;
140308;0000;;;12,6817;
140309;0000;;;17,9146;
140310;0000;;;17,062;
140311;0000;;;14,3689;
140312;0000;;;0;
140313;0000;;;0,884957;
140314;0000;;;;
140315;0000;;;;
140316;0000;;;17,1548;
140317;0000;;;16,207;
140318;0000;;;67,3986;
140319;0000;;;9,51431;
140320;0000;;;20,7671;
140321;0000;;;53,871;
140322;0000;;;18,346;
140323;0000;;;6,25732;
140324;0000;;;4,4427;
140325;0000;;;26,5465;
140326;0000;;;5,59487;
140327;0000;;;9,93732;
140328;0000;;;12,3892;
140329;0000;;;9,31087;
140330;0000;;;3,33087;
140331;0000;;;9,98537;
140401;0000;;;23,4863;
140402;0000;;;8,08244;
140403;0000;;;9,21953;
140404;0000;;;11,4815;
140405;0000;;;10,3036;
140406;0000;;;7,50303;
140407;0000;;;12,8168;
140408;0000;;;25,0157;
140409;0000;;;16,1848;
140410;0000;;;3,83841;
140411;0000;;;12,4189;
140412;0000;;;8,38483;
140413;0000;;;16,9777;
140414;0000;;;15,5257;
140415;0000;;;26,9109;
140416;0000;;;4,0005;
140417;0000;;;20,2334;
140418;0000;;;21,4864;
140419;0000;;;;
140420;0000;;;;
140421;0000;;;;
140422;0000;;;;
140423;0000;;;14,9187;
140424;0000;;;7,59699;
140425;0000;;;17,8737;
140426;0000;;;10,7181;
140427;0000;;;;
140428;0000;;;23,4064;
140429;0000;;;38,6498;
140430;0000;;;17,7094;
140501;0000;;;26,9097;
140502;0000;;;28,4459;
140503;0000;;;12,8333;
140504;0000;;;25,3906;
140505;0000;;;34,0093;
140506;0000;;;30,267;
140507;0000;;;27,6512;
140508;0000;;;18,8083;
140509;0000;;;7,23341;
140510;0000;;;7,26904;
140511;0000;;;4,95373;
140512;0000;;;12,4433;
140513;0000;;;32,8441;
140514;0000;;;21,2612;
140515;0000;;;19,5813;
140516;0000;;;24,4994;
140517;0000;;;46,34;
140518;0000;;;32,4211;
140519;0000;;;28,3918;
140520;0000;;;26,4337;
140521;0000;;;6,12108;
140522;0000;;;13,0737;
140523;0000;;;31,6977;
140524;0000;;;18,8729;
140525;0000;;;12,3678;
140526;0000;;;31,4849;
140527;0000;;;63,9287;
140528;0000;;;3,56979;
140529;0000;;;2,88745;
140530;0000;;;14,7456;
140531;0000;;;14,6771;
140601;0000;;;16,0818;
140602;0000;;;40,9782;
140603;0000;;;17,0869;
140604;0000;;;13,7508;
140605;0000;;;12,0944;
140606;0000;;;11,9981;
140607;0000;;;10,2324;
140608;0000;;;8,42915;
140609;0000;;;14,252;
140610;0000;;;15,4233;
140611;0000;;;5,99449;
140612;0000;;;14,3337;
140613;0000;;;20,3528;
140614;0000;;;28,7904;
140615;0000;;;32,8022;
140616;0000;;;21,5772;
140617;0000;;;42,309;
140618;0000;;;14,8259;
140619;0000;;;10,7543;
140620;0000;;;21,6054;
140621;0000;;;13,2654;
140622;0000;;;16,0459;
140623;0000;;;24,7631;
140624;0000;;;36,1393;
140625;0000;;;15,7144;
140626;0000;;;14,6936;
140627;0000;;;24,9644;
140628;0000;;;18,5943;
140629;0000;;;13,9831;
140630;0000;;;15,5793;
140701;0000;;;23,294;
140702;0000;;;6,69899;
140703;0000;;;14,9272;
140704;0000;;;14,632;
140705;0000;;;7,35674;
140706;0000;;;8,74928;
140707;0000;;;26,2909;
140708;0000;;;27,7417;
140709;0000;;;24,7504;
140710;0000;;;13,922;
140711;0000;;;13,2851;
140712;0000;;;17,2386;
140713;0000;;;14,6662;
140714;0000;;;5,53671;
140715;0000;;;24,7472;
140716;0000;;;16,9867;
140717;0000;;;12,1976;
140718;0000;;;19,5898;
140719;0000;;;11,7898;
140720;0000;;;10,5898;
140721;0000;;;11,5562;
140722;0000;;;8,80206;
140723;0000;;;8,62015;
140724;0000;;;11,5655;
140725;0000;;;12,9195;
140726;0000;;;23,429;
140727;0000;;;16,5874;
140728;0000;;;13,4904;
140729;0000;;;21,1191;
140730;0000;;;14,7283;
140731;0000;;;37,8666;
140801;0000;;;26,8618;
140802;0000;;;22,3556;
140803;0000;;;8,8744;
140804;0000;;;20,8726;
140805;0000;;;22,156;
140806;0000;;;8,67783;
140807;0000;;;10,259;
140808;0000;;;23,0597;
140809;0000;;;9,31369;
140810;0000;;;4,41362;
140811;0000;;;3,86462;
140812;0000;;;15,3075;
140813;0000;;;24,0884;
140814;0000;;;6,05991;
140815;0000;;;5,00062;
140816;0000;;;57,2237;
140817;0000;;;21,015;
140818;0000;;;15,8071;
140819;0000;;;14,5101;
140820;0000;;;3,77537;
140821;0000;;;7,40903;
140822;0000;;;13,1128;
140823;0000;;;6,24337;
140824;0000;;;;
140825;0000;;;;
140826;0000;;;22,1345;
140827;0000;;;16,4511;
140828;0000;;;26,3028;
140829;0000;;;19,4291;
140830;0000;;;8,22073;
140831;0000;;;8,87303;
140901;0000;;;1,65804;
140902;0000;;;15,1738;
140903;0000;;;13,1094;
140904;0000;;;14,0257;
140905;0000;;;9,12282;
140906;0000;;;12,397;
140907;0000;;;15,8386;
140908;0000;;;11,6342;
140909;0000;;;19,9106;
140910;0000;;;12,8719;
140911;0000;;;20,677;
140912;0000;;;15,614;
140913;0000;;;10,1123;
140914;0000;;;6,81408;
140915;0000;;;21,507;
140916;0000;;;11,4151;
140917;0000;;;9,53349;
140918;0000;;;16,5005;
140919;0000;;;9,72536;
140920;0000;;;25,9353;
140921;0000;;;8,38666;
140922;0000;;;7,19762;
140923;0000;;;32,905;
140924;0000;;;27,6472;
140925;0000;;;11,2294;
140926;0000;;;11,9066;
140927;0000;;;9,34511;
140928;0000;;;11,4448;
140929;0000;;;5,76066;
140930;0000;;;24,2363;
141001;0000;;;5,92412;
141002;0000;;;4,89058;
141003;0000;;;7,85629;
141004;0000;;;6,91129;
141005;0000;;;5,18133;
141006;0000;;;9,7114;
141007;0000;;;15,2048;
141008;0000;;;3,20262;
141009;0000;;;4,49844;
141010;0000;;;18,5171;
141011;0000;;;15,8752;
141012;0000;;;22,4198;
141013;0000;;;11,2619;
141014;0000;;;22,8876;
141015;0000;;;8,51978;
141016;0000;;;11,3453;
141017;0000;;;12,4647;
141018;0000;;;10,6439;
141019;0000;;;13,7925;
141020;0000;;;10,6178;
141021;0000;;;11,5392;
141022;0000;;;4,63937;
141023;0000;;;18,3447;
141024;0000;;;6,78407;
141025;0000;;;2,84741;
141026;0000;;;3,39679;
141027;0000;;;7,22762;
141028;0000;;;31,6942;
141029;0000;;;4,86308;
141030;0000;;;4,14433;
141031;0000;;;6,42966;
141101;0000;;;9,42865;
141102;0000;;;2,79287;
141103;0000;;;4,51699;
141104;0000;;;15,4988;
141105;0000;;;6,37345;
141106;0000;;;4,7842;
141107;0000;;;7,3362;
141108;0000;;;6,54375;
141109;0000;;;4,51887;
141110;0000;;;4,2022;
141111;0000;;;13,1188;
141112;0000;;;22,1895;
141113;0000;;;24,1245;
141114;0000;;;18,6875;
141115;0000;;;16,4825;
141116;0000;;;22,1854;
141117;0000;;;19,3637;
141118;0000;;;19,1982;
141119;0000;;;2,49395;
141120;0000;;;3,98208;
141121;0000;;;6,25099;
141122;0000;;;8,60464;
141123;0000;;;3,20904;
141124;0000;;;2,63321;
141125;0000;;;9,63533;
141126;0000;;;6,7645;
141127;0000;;;6,63132;
141128;0000;;;6,32453;
141129;0000;;;11,1552;
141130;0000;;;3,72087;
141201;0000;;;12,7816;
141202;0000;;;15,5994;
141203;0000;;;21,3073;
141204;0000;;;2,40091;
141205;0000;;;2,06675;
141206;0000;;;2,38499;
141207;0000;;;9,50198;
141208;0000;;;1,93121;
141209;0000;;;9,68295;
141210;0000;;;2,54104;
141211;0000;;;6,10974;
141212;0000;;;4,95633;
141213;0000;;;4,97824;
141214;0000;;;2,12395;
141215;0000;;;3,29491;
141216;0000;;;14,0892;
141217;0000;;;10,7052;
141218;0000;;;4,24449;
141219;0000;;;2,75525;
141220;0000;;;11,2967;
141221;0000;;;3,98079;
141222;0000;;;8,73245;
141223;0000;;;33,0286;
141224;0000;;;15,76;
141225;0000;;;13,8591;
141226;0000;;;17,4742;
141227;0000;;;16,7867;
141228;0000;;;14,8796;
141229;0000;;;26,2506;
141230;0000;;;12,6904;
141231;0000;;;6,88432;
150101;0000;;;5,67583;
150102;0000;;;6,49703;
150103;0000;;;6,80928;
150104;0000;;;8,0022;
150105;0000;;;8,76532;
150106;0000;;;14,0883;
150107;0000;;;4,51095;
150108;0000;;;6,3876;
150109;0000;;;9,0412;
150110;0000;;;5,96883;
150111;0000;;;4,40079;
150112;0000;;;9,81165;
150113;0000;;;23,9759;
150114;0000;;;5,84299;
150115;0000;;;4,58321;
150116;0000;;;22,4638;
150117;0000;;;31,2787;
150118;0000;;;34,3995;
150119;0000;;;46,957;
150120;0000;;;27,0777;
150121;0000;;;22,4629;
150122;0000;;;22,9812;
150123;0000;;;27,6054;
150124;0000;;;;
150125;0000;;;42,0708;
150126;0000;;;35,9454;
150127;0000;;;41,3546;
150128;0000;;;32,1237;
150129;0000;;;28,4958;
150130;0000;;;29,4294;
150131;0000;;;35,9483;
150201;0000;;;35,8779;
150202;0000;;;32,7933;
150203;0000;;;35,2004;
150204;0000;;;25,3537;
150205;0000;;;28,4208;
150206;0000;;;25,2146;
150207;0000;;;25,7558;
150208;0000;;;24,2475;
150209;0000;;;30,3354;
150210;0000;;;35,9916;
150211;0000;;;33,1287;
150212;0000;;;35,015;
150213;0000;;;32,2195;
150214;0000;;;33,032;
150215;0000;;;35,5433;
150216;0000;;;33,6104;
150217;0000;;;39,0862;
150218;0000;;;28,3512;
150219;0000;;;32,9066;
150220;0000;;;37,3958;
150221;0000;;;35,9633;
150222;0000;;;31,4954;
150223;0000;;;30,2971;
150224;0000;;;32,6662;
150225;0000;;;31,7729;
150226;0000;;;31,755;
150227;0000;;;39,2758;
150228;0000;;;33,7745;
150301;0000;;;31,5937;
150302;0000;;;40,0504;
150303;0000;;;46,7562;
150304;0000;;;44,5341;
150305;0000;;;45,3729;
150306;0000;;;41,3012;
150307;0000;;;45,8528;
150308;0000;;;90,8091;
150309;0000;;;59,1062;
150310;0000;;;45,147;
150311;0000;;;31,4162;
150312;0000;;;30,515;
150313;0000;;;34,0403;
150314;0000;;;35,8708;
150315;0000;;;34,4825;
150316;0000;;;31,2371;
150317;0000;;;42,5545;
150318;0000;;;30,7266;
150319;0000;;;31,7316;
150320;0000;;;38,0375;
150321;0000;;;32,8704;
150322;0000;;;38,6858;
150323;0000;;;42,9824;
150324;0000;;;41,2454;
150325;0000;;;41,3495;
