FECHA (YYMMDD);HORA (HHMM);;
160229;0700;0,407433;
160229;0800;0,802893;
160229;0900;0,848953;
160229;1000;1,99199;
160229;1100;2,44131;
160229;1200;2,79058;
160229;1300;2,25857;
160229;1400;3,22001;
160229;1500;2,88328;
160229;1600;2,97829;
160229;1700;2,42411;
160229;1800;1,67865;
160229;1900;1,80637;
160229;2000;1,29735;
160229;2100;1,37239;
160229;2200;0,856551;
160229;2300;1,02527;
160301;0000;1,60086;
160301;0100;1,29253;
160301;0200;1,37069;
160301;0300;1,3885;
160301;0400;0,440938;
160301;0500;0,803954;
160301;0600;0,537936;
160301;0700;0,20958;
160301;0800;1,13082;
160301;0900;0,860126;
160301;1000;1,50342;
160301;1100;2,98708;
160301;1200;3,06652;
160301;1300;3,17693;
160301;1400;2,73668;
160301;1500;2,59812;
160301;1600;1,99276;
160301;1700;2,52764;
160301;1800;1,89315;
160301;1900;0,710554;
160301;2000;0,683106;
160301;2100;0,485319;
160301;2200;0,563303;
160301;2300;0,541796;
160302;0000;1,38689;
160302;0100;0,314478;
160302;0200;0,763629;
160302;0300;1,26323;
160302;0400;1,56928;
160302;0500;0,875528;
160302;0600;1,24391;
160302;0700;0,438919;
160302;0800;1,3967;
160302;0900;1,45645;
160302;1000;2,53261;
160302;1100;2,75764;
160302;1200;2,79933;
160302;1300;3,13786;
160302;1400;3,15115;
160302;1500;3,31748;
160302;1600;2,91846;
160302;1700;2,52907;
160302;1800;1,99822;
160302;1900;0,946896;
160302;2000;0,380148;
160302;2100;0,817714;
160302;2200;0,811831;
160302;2300;1,29721;
160303;0000;2,44506;
160303;0100;2,491;
160303;0200;2,37145;
160303;0300;1,56726;
160303;0400;0,972107;
160303;0500;0,35885;
160303;0600;0,380368;
160303;0700;0,517303;
160303;0800;0,997462;
160303;0900;1,71368;
160303;1000;1,75609;
160303;1100;1,01146;
160303;1200;3,26777;
160303;1300;3,46454;
160303;1400;2,85236;
160303;1500;2,24239;
160303;1600;2,5578;
160303;1700;2,40985;
160303;1800;1,88442;
160303;1900;2,10969;
160303;2000;2,33222;
160303;2100;1,67684;
160303;2200;1,21536;
160303;2300;1,08334;
160304;0000;0,56762;
160304;0100;0,413004;
160304;0200;1,71375;
160304;0300;1,3647;
160304;0400;1,27152;
160304;0500;1,20362;
160304;0600;1,87168;
160304;0700;1,66307;
160304;0800;1,31225;
160304;0900;1,4254;
160304;1000;1,52498;
160304;1100;1,45888;
160304;1200;2,34052;
160304;1300;2,72336;
160304;1400;2,59709;
160304;1500;2,29171;
160304;1600;0,58366;
160304;1700;1,42526;
160304;1800;1,69137;
160304;1900;0,325539;
160304;2000;0,219654;
160304;2100;0,5094;
160304;2200;0,537144;
160304;2300;0,181443;
160305;0000;0,615043;
160305;0100;0,880758;
160305;0200;0,809279;
160305;0300;0,438921;
160305;0400;0,461392;
160305;0500;0,403462;
160305;0600;0,522483;
160305;0700;0,460628;
160305;0800;0,439256;
160305;0900;0,620343;
160305;1000;0,488816;
160305;1100;1,53227;
160305;1200;2,32995;
160305;1300;1,21777;
160305;1400;1,3498;
160305;1500;3,20181;
160305;1600;2,86787;
160305;1700;2,82494;
160305;1800;1,46374;
160305;1900;1,54155;
160305;2000;1,57648;
160305;2100;1,05072;
160305;2200;0,878812;
160305;2300;0,718497;
160306;0000;1,41569;
160306;0100;1,42999;
160306;0200;0,90576;
160306;0300;0,412214;
160306;0400;0,264724;
160306;0500;0,597691;
160306;0600;0,33548;
160306;0700;0,476137;
160306;0800;1,14753;
160306;0900;1,27136;
160306;1000;1,46872;
160306;1100;1,37072;
160306;1200;1,27771;
160306;1300;1,76753;
160306;1400;1,98106;
160306;1500;1,65894;
160306;1600;1,49715;
160306;1700;2,39715;
160306;1800;2,91663;
160306;1900;3,87719;
160306;2000;3,60445;
160306;2100;3,5569;
160306;2200;3,32034;
160306;2300;2,68304;
160307;0000;2,27758;
160307;0100;2,03508;
160307;0200;1,49195;
160307;0300;2,26259;
160307;0400;2,48231;
160307;0500;1,97411;
160307;0600;1,7916;
160307;0700;1,15279;
160307;0800;1,43556;
160307;0900;0,842409;
160307;1000;1,32769;
160307;1100;1,57128;
160307;1200;2,038;
160307;1300;2,02903;
160307;1400;1,88422;
160307;1500;1,95065;
160307;1600;2,3142;
160307;1700;1,95968;
160307;1800;1,55197;
160307;1900;1,4912;
160307;2000;1,83566;
160307;2100;1,70084;
160307;2200;0,947574;
160307;2300;0,732103;
160308;0000;1,01665;
160308;0100;0,430873;
160308;0200;1,84455;
160308;0300;0,978092;
160308;0400;1,3201;
160308;0500;0,715362;
160308;0600;0,958088;
160308;0700;1,59789;
160308;0800;1,69476;
160308;0900;2,18246;
160308;1000;2,10911;
160308;1100;3,2507;
160308;1200;2,88132;
160308;1300;2,57647;
160308;1400;2,51228;
160308;1500;2,5023;
160308;1600;2,37788;
160308;1700;2,31184;
160308;1800;2,34801;
160308;1900;1,94823;
160308;2000;1,18034;
160308;2100;2,52792;
160308;2200;2,95379;
160308;2300;0,90536;
160309;0000;0,813122;
160309;0100;0,509947;
160309;0200;1,31375;
160309;0300;1,68934;
160309;0400;0,383266;
160309;0500;0,807757;
160309;0600;1,09832;
160309;0700;0,387693;
160309;0800;0,842542;
160309;0900;1,05297;
160309;1000;2,69291;
160309;1100;2,92067;
160309;1200;2,81722;
160309;1300;2,58036;
160309;1400;2,73697;
160309;1500;2,73156;
160309;1600;4,05971;
160309;1700;3,63189;
160309;1800;2,63924;
160309;1900;1,70037;
160309;2000;1,5623;
160309;2100;2,50367;
160309;2200;3,16021;
160309;2300;0,267449;
160310;0000;1,31603;
160310;0100;0,821774;
160310;0200;0,942105;
160310;0300;0,833066;
160310;0400;1,05776;
160310;0500;0,399103;
160310;0600;0,975383;
160310;0700;0,989977;
160310;0800;0,907021;
160310;0900;0,774045;
160310;1000;1,29974;
160310;1100;1,71108;
160310;1200;2,10845;
160310;1300;2,28576;
160310;1400;3,0825;
160310;1500;2,55407;
160310;1600;2,83954;
160310;1700;2,0047;
160310;1800;1,57635;
160310;1900;1,95448;
160310;2000;1,5504;
160310;2100;1,83703;
160310;2200;1,11272;
160310;2300;0,865107;
160311;0000;0,936238;
160311;0100;1,12064;
160311;0200;1,15414;
160311;0300;1,34093;
160311;0400;1,48723;
160311;0500;0,917454;
160311;0600;1,53532;
160311;0700;0,684032;
160311;0800;0,817638;
160311;0900;1,18502;
160311;1000;1,3633;
160311;1100;1,31707;
160311;1200;1,8639;
160311;1300;2,4342;
160311;1400;2,85922;
160311;1500;3,20373;
160311;1600;2,34736;
160311;1700;1,52537;
160311;1800;1,40038;
160311;1900;1,21589;
160311;2000;1,04824;
160311;2100;0,97998;
160311;2200;0,615297;
160311;2300;0,787886;
160312;0000;0,791043;
160312;0100;0,780499;
160312;0200;0,863543;
160312;0300;1,09441;
160312;0400;0,396609;
160312;0500;0,354413;
160312;0600;0,865164;
160312;0700;1,1055;
160312;0800;1,36602;
160312;0900;1,7144;
160312;1000;2,29389;
160312;1100;2,59046;
160312;1200;3,17328;
160312;1300;1,81511;
160312;1400;2,63316;
160312;1500;2,89367;
160312;1600;2,85416;
160312;1700;2,3223;
160312;1800;1,35507;
160312;1900;1,08191;
160312;2000;1,6846;
160312;2100;1,90375;
160312;2200;1,3566;
160312;2300;0,968591;
160313;0000;0,4611;
160313;0100;0,364801;
160313;0200;1,41881;
160313;0300;1,48664;
160313;0400;1,51775;
160313;0500;1,37274;
160313;0600;0,881869;
160313;0700;1,49939;
160313;0800;0,434376;
160313;0900;0,873745;
160313;1000;1,88819;
160313;1100;2,48194;
160313;1200;1,99164;
160313;1300;2,50493;
160313;1400;2,85261;
160313;1500;2,53728;
160313;1600;2,86621;
160313;1700;2,96704;
160313;1800;2,79072;
160313;1900;2,85848;
160313;2000;2,48296;
160313;2100;1,591;
160313;2200;0,909332;
160313;2300;2,96061;
160314;0000;0,840974;
160314;0100;0,706698;
160314;0200;1,80669;
160314;0300;2,23779;
160314;0400;1,41297;
160314;0500;1,036;
160314;0600;0,964866;
160314;0700;0,769492;
160314;0800;0,984301;
160314;0900;1,2894;
160314;1000;1,42214;
160314;1100;1,56661;
160314;1200;1,71022;
160314;1300;2,70762;
160314;1400;2,18744;
160314;1500;2,44878;
160314;1600;2,93861;
160314;1700;3,42428;
160314;1800;2,53309;
160314;1900;2,59806;
160314;2000;2,22219;
160314;2100;1,72781;
160314;2200;0,956008;
160314;2300;0,12746;
160315;0000;0,365909;
160315;0100;1,05186;
160315;0200;1,19324;
160315;0300;0,914143;
160315;0400;0,525841;
160315;0500;0,932038;
160315;0600;0,850741;
160315;0700;0,610052;
160315;0800;0,652575;
160315;0900;0,500426;
160315;1000;1,56782;
160315;1100;1,77233;
160315;1200;1,77097;
160315;1300;2,03832;
160315;1400;2,0703;
160315;1500;2,44778;
160315;1600;2,41517;
160315;1700;2,06471;
160315;1800;1,59204;
160315;1900;1,56933;
160315;2000;1,59235;
160315;2100;1,12875;
160315;2200;1,72606;
160315;2300;1,24817;
160316;0000;1,26218;
160316;0100;0,932624;
160316;0200;0,401393;
160316;0300;0,698359;
160316;0400;0,994849;
160316;0500;0,634364;
160316;0600;1,61698;
160316;0700;1,48871;
160316;0800;2,40669;
160316;0900;2,73501;
160316;1000;2,81379;
160316;1100;2,57133;
160316;1200;2,19847;
160316;1300;1,33089;
160316;1400;2,51044;
160316;1500;2,7048;
160316;1600;2,81265;
160316;1700;2,59957;
160316;1800;0,738632;
160316;1900;0,657996;
160316;2000;1,05937;
160316;2100;0,45436;
160316;2200;0,680429;
160316;2300;0,706161;
160317;0000;0,200898;
160317;0100;0,66244;
160317;0200;1,08694;
160317;0300;0,912214;
160317;0400;0,391677;
160317;0500;0,73274;
160317;0600;0,204084;
160317;0700;0,948731;
160317;0800;1,71884;
160317;0900;1,48884;
160317;1000;0,555398;
160317;1100;0,738995;
160317;1200;0,87501;
160317;1300;1,91181;
160317;1400;2,64033;
160317;1500;3,46831;
160317;1600;5,57938;
160317;1700;6,6963;
160317;1800;6,50303;
160317;1900;5,68258;
160317;2000;5,17274;
160317;2100;3,62367;
160317;2200;3,24606;
160317;2300;2,59898;
160318;0000;1,29004;
160318;0100;1,52432;
160318;0200;0,87688;
160318;0300;1,3529;
160318;0400;1,30001;
160318;0500;1,18286;
160318;0600;0,298677;
160318;0700;1,14239;
160318;0800;0,509299;
160318;0900;1,30026;
160318;1000;2,27018;
160318;1100;4,86423;
160318;1200;5,10879;
160318;1300;4,83549;
160318;1400;5,1569;
160318;1500;4,26418;
160318;1600;3,8128;
160318;1700;3,11175;
160318;1800;2,25065;
160318;1900;1,5817;
160318;2000;1,07318;
160318;2100;1,22358;
160318;2200;2,0862;
160318;2300;2,07638;
160319;0000;2,18111;
160319;0100;2,0872;
160319;0200;1,87522;
160319;0300;1,97108;
160319;0400;2,44319;
160319;0500;2,60392;
160319;0600;1,99025;
160319;0700;2,28324;
160319;0800;1,82286;
160319;0900;1,75628;
160319;1000;1,67125;
160319;1100;2,68631;
160319;1200;3,4788;
160319;1300;3,2811;
160319;1400;3,18254;
160319;1500;2,86744;
160319;1600;2,84106;
160319;1700;2,6787;
160319;1800;1,97803;
160319;1900;0,729008;
160319;2000;1,21926;
160319;2100;0,432958;
160319;2200;0,437422;
160319;2300;0,556872;
160320;0000;0,177404;
160320;0100;0,772384;
160320;0200;1,05389;
160320;0300;0,794049;
160320;0400;1,10139;
160320;0500;1,35153;
160320;0600;1,37152;
160320;0700;1,87277;
160320;0800;1,66684;
